isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.5361.1	chr2	-	1894	4	full-splice_match	METTL21A	ENST00000411432.5	4805	4	-91	3002	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	218	657	309	965	100.0
PB.5569.2	chr20	+	2072	7	full-splice_match	MAPRE1	ENST00000375571.5	2623	7	69	482	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	268	807	71	877	35.0
PB.5569.1	chr20	+	1349	7	full-splice_match	MAPRE1	ENST00000375571.5	2623	7	50	1224	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	268	807	90	896	25.0
PB.1591.3	chr11	+	313	1	full-splice_match	NEAT1	ENST00000501122.2	22743	1	3415	19015	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	25.0
PB.1591.2	chr11	+	1634	1	full-splice_match	NEAT1	ENST00000501122.2	22743	1	2097	19012	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	25.0
PB.1591.1	chr11	+	3166	1	full-splice_match	NEAT1	ENST00000501122.2	22743	1	563	19014	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	25.0
PB.1591.6	chr11	+	1724	1	full-splice_match	NEAT1	ENST00000501122.2	22743	1	8488	12531	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	85.0
PB.1591.5	chr11	+	4059	1	full-splice_match	NEAT1	ENST00000501122.2	22743	1	6153	12531	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	C	coding	137	414	1209	1622	85.0
PB.1591.4	chr11	+	6951	1	full-splice_match	NEAT1	ENST00000501122.2	22743	1	3261	12531	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	C	coding	137	414	4101	4514	85.0
PB.2969.3	chr15	+	1996	15	full-splice_match	SNX1	ENST00000559844.5	1971	15	-18	-7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	522	1569	33	1601	20.0
PB.2969.2	chr15	+	2711	1	novel_in_catalog	SNX1	novel	1869	14	1856	39317	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	95.0
PB.2969.1	chr15	+	2001	15	novel_in_catalog	SNX1	novel	1869	14	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	1	TRUE	NA	NA	NA	C	coding	364	1095	520	1614	30.0
PB.7336.1	chr5	-	2323	1	incomplete-splice_match	MAPK9	ENST00000452135.6	4815	12	56171	463	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	A	non_coding	NA	NA	NA	NA	50.0
PB.690.1	chr1	-	1974	8	full-splice_match	GPATCH4	ENST00000368232.8	1972	8	1	-3	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	370	1113	133	1245	10.0
PB.3925.1	chr17	+	600	5	full-splice_match	ATP5G1	ENST00000355938.9	598	5	-4	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	136	411	90	500	10.0
PB.3925.2	chr17	+	2508	2	incomplete-splice_match	ATP5G1	ENST00000503641.5	539	5	-5	4	intron_retention	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	128	387	1969	2355	15.0
PB.8382.1	chr8	-	2130	7	full-splice_match	PLPP5	ENST00000424479.6	2130	7	-4	4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	264	795	26	820	35.0
PB.1362.1	chr11	-	618	3	full-splice_match	HBE1	ENST00000396895.2	616	3	0	-2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	147	444	56	499	40.0
PB.4824.2	chr19_GL949750v2_alt	-	1724	6	antisense		novel	NA	NA	NA	NA	multi-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	B	coding	260	783	211	993	85.0
PB.7823.3	chr7	+	2165	1	incomplete-splice_match	TTYH3	ENST00000258796.11	4840	14	30685	2	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	coding	199	600	375	974	15.0
PB.7823.2	chr7	+	4759	14	full-splice_match	TTYH3	ENST00000258796.11	4840	14	79	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	523	1572	127	1698	15.0
PB.7823.1	chr7	+	3629	6	novel_not_in_catalog	TTYH3	novel	4840	14	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	123	372	204	575	35.0
PB.8492.1	chr8	+	2925	2	full-splice_match	PLEKHF2	ENST00000315367.3	2881	2	-43	-1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	249	750	285	1034	10.0
PB.5238.3	chr2	-	4005	1	novel_in_catalog	NR4A2	novel	3472	8	4	4276	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	coding	298	897	2527	3423	80.0
PB.5238.2	chr2	-	3254	8	novel_not_in_catalog	NR4A2	novel	3472	8	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	7	1	TRUE	NA	NA	NA	C	coding	430	1293	350	1642	25.0
PB.5238.1	chr2	-	3495	8	full-splice_match	NR4A2	ENST00000339562.8	3472	8	-30	7	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	598	1797	394	2190	25.0
PB.448.2	chr1	-	1274	4	full-splice_match	TMED5	ENST00000370282.7	6104	4	221	4609	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	229	690	266	955	25.0
PB.6690.1	chr4	+	1408	9	full-splice_match	OCIAD1	ENST00000264312.11	1414	9	7	-1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	245	738	184	921	15.0
PB.609.3	chr1	-	3523	11	full-splice_match	RFX5	ENST00000290524.8	3576	11	-2	55	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	616	1851	182	2032	35.0
PB.448.1	chr1	-	3683	4	full-splice_match	TMED5	ENST00000370282.7	6104	4	309	2112	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	229	690	178	867	40.0
PB.8402.1	chr8	-	2192	1	novel_in_catalog	RNF170	novel	1866	6	41087	3670	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	45.0
PB.7217.1	chr5	+	1920	8	full-splice_match	NDFIP1	ENST00000253814.5	3851	8	274	1657	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	221	666	197	862	25.0
PB.7217.2	chr5	+	3568	8	full-splice_match	NDFIP1	ENST00000253814.5	3851	8	276	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	221	666	195	860	45.0
PB.8402.2	chr8	-	1923	7	full-splice_match	RNF170	ENST00000527424.5	3880	7	10	1947	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	258	777	236	1012	95.0
PB.8333.2	chr8	+	1980	4	full-splice_match	SLC25A37	ENST00000290075.10	1889	4	-91	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	187	564	1069	1632	100.0
PB.8333.3	chr8	+	3091	2	full-splice_match	SLC25A37	ENST00000520654.1	3018	2	-98	25	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	155	468	49	516	80.0
PB.7976.1	chr7	+	2239	11	novel_in_catalog	CCT6P1	novel	1544	14	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	non_coding	NA	NA	NA	NA	10.0
PB.8701.2	chr9	+	2585	9	full-splice_match	ZCCHC7	ENST00000336755.9	2619	9	31	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	542	1629	79	1707	35.0
PB.4992.3	chr2	-	2458	1	novel_in_catalog	PREPL	novel	6049	14	316	41478	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	100.0
PB.4935.2	chr2	+	1048	7	full-splice_match	ATRAID	ENST00000405489.7	1059	7	-10	21	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	171	516	324	839	5.0
PB.4992.1	chr2	-	5237	15	full-splice_match	PREPL	ENST00000409936.5	5212	15	-22	-3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	727	2184	461	2644	15.0
PB.4534.1	chr19	-	1479	5	full-splice_match	RAB3A	ENST00000222256.8	1528	5	32	17	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	A	coding	220	663	148	810	15.0
PB.2567.1	chr14	+	3549	21	full-splice_match	RNF31	ENST00000324103.10	3627	21	75	3	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	1072	3219	246	3464	5.0
PB.6038.1	chr22	+	2978	12	full-splice_match	GTSE1	ENST00000454366.1	3112	12	133	1	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	739	2220	80	2299	25.0
PB.6038.2	chr22	+	4496	13	novel_in_catalog	GTSE1	novel	3112	12	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	14	NA	TRUE	NA	NA	NA	C	coding	739	2220	59	2278	20.0
PB.6038.3	chr22	+	3374	11	novel_in_catalog	GTSE1	novel	3112	12	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	739	2220	477	2696	25.0
PB.6038.4	chr22	+	3046	11	novel_in_catalog	GTSE1	novel	3112	12	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	5	NA	TRUE	NA	NA	NA	C	coding	739	2220	474	2693	85.0
PB.6038.5	chr22	+	3311	10	novel_in_catalog	GTSE1	novel	3112	12	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	586	1761	873	2633	25.0
PB.8934.1	chr9	+	662	1	full-splice_match	EEF1A1P5	ENST00000436459.2	1389	1	1019	-292	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	A	coding	98	297	74	370	80.0
PB.6285.2	chr3	-	3560	11	full-splice_match	ARHGEF3	ENST00000496106.5	1994	11	3	-1569	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	532	1599	110	1708	15.0
PB.5058.1	chr2	+	1239	10	full-splice_match	NAGK	ENST00000244204.10	1154	10	-12	-73	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	1	TRUE	NA	NA	NA	A	coding	344	1035	75	1109	35.0
PB.6285.1	chr3	-	3742	13	novel_in_catalog	ARHGEF3	novel	3602	10	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	558	1677	214	1890	15.0
PB.8318.4	chr8	+	1869	1	incomplete-splice_match	SLC39A14	ENST00000359741.9	4641	9	53564	4	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	30.0
PB.8150.1	chr7	-	3913	5	full-splice_match	TMEM168	ENST00000312814.10	7470	5	199	3358	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	681	2046	411	2456	45.0
PB.5689.9	chr20	-	1777	9	full-splice_match	AURKA	ENST00000395913.7	2169	9	122	270	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	4	1	TRUE	NA	NA	NA	C	coding	403	1212	68	1279	10.0
PB.5689.8	chr20	-	2055	9	full-splice_match	AURKA	ENST00000395915.7	2114	9	59	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	403	1212	76	1287	15.0
PB.5689.3	chr20	-	2357	10	novel_in_catalog	AURKA	novel	2238	10	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	403	1212	378	1589	15.0
PB.3806.1	chr17	+	2451	10	full-splice_match	THRA	ENST00000264637.8	2538	10	86	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	490	1473	495	1967	5.0
PB.5689.1	chr20	-	2264	9	full-splice_match	AURKA	ENST00000347343.6	2248	9	-10	-6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	403	1212	279	1490	15.0
